spp,site,ftyp,_TYPE_,_FREQ_,count,area,pres
BF,41,C,0,4,0,0.8226,0
BF,41,O,0,4,0,0.4468,0
BF,43,C,0,3,0,2.0517,0
BF,45,C,0,4,0,1.1475,0
BF,45,O,0,5,2,1.0027,1
BF,46,C,0,5,0,0.1316,0
BF,46,O,0,5,0,0.1842,0
BF,47,C,0,4,0,0.3328,0
BF,47,O,0,4,0,0.3478,0
BF,49,O,0,4,0,1.0672,0
BF,5,O,0,5,0.4,0.6903,1
BF,50,C,0,4,0.25,0.4387,1
BF,50,O,0,5,1.2,1.1295,1
BF,51,O,0,5,0,0.8218,0
BF,52,C,0,4,0,1.0836,0
BF,52,O,0,4,1.25,0.8179,1
BF,53,C,0,5,0,1.315,0
BF,53,O,0,5,0.2,0.5553,1
BF,55,C,0,4,0,0.0643,0
BF,55,O,0,4,0,0.6942,0
BF,56,C,0,2,0,0.3089,0
BF,56,O,0,4,0,0.4251,0
BF,59,C,0,5,0,0.5025,0
BF,59,O,0,4,0,0.3151,0
BF,6,C,0,5,0.2,1.3482,1
BF,60,C,0,5,3.6,1.4753,1
BF,60,O,0,5,0.6,1.0666,1
BF,61,C,0,3,0,1.2371,0
BF,61,O,0,3,3,0.9724,1
BF,62,C,0,3,0,1.4273,0
BF,63,C,0,5,0,1.1627,0
BF,64,C,0,4,0,0.6148,0
BF,64,O,0,4,0.5,1.0128,1
BF,65,C,0,4,0.25,0.7839,1
BF,65,O,0,4,0,0.9264,0
BF,66,C,0,3,0,0.7237,0
BF,66,O,0,4,1,1.3731,1
BF,67,C,0,5,0,0.6601,0
BF,67,O,0,5,0,0.6867,0
BF,68,C,0,4,0,0.2976,0
BF,7,C,0,5,0,2.7099,0
BF,7,O,0,5,0,0.4373,0
BF,70,C,0,4,0,0.4683,0
BF,70,O,0,4,0,0.5493,0
BF,71,C,0,4,0,0.2153,0
BF,72,C,0,5,0,0.7333,0
BF,72,O,0,4,0,0.7783,0
BF,73,C,0,5,0,0.664,0
BF,73,O,0,5,0,0.306,0
BF,74,C,0,5,0,0.5348,0
BF,74,O,0,5,0,0.9849,0
BF,75,C,0,5,0,0.5497,0
BF,75,O,0,5,0.8,0.9576,1
BF,76,C,0,5,0.8,1.155,1
BF,76,O,0,5,0.4,1.086,1
BF,77,C,0,4,0.75,0.8376,1
